LDGS_NM,CTPRVN_NM,GUGUN_NM,CFR_LDGS_LIST_CN,ONE_QUARTER_AVRG_PRC,TWO_QUARTER_AVRG_PRC,GSRM_CO,PRKPLCE_EXST_AT,RSTRNT_EXST_AT,BAR_AT,CAFE_HOLD_AT,FITNES_CNTER_AT,OUTDOOR_POOL_AT,SPA_AT,SAUNA_AT,BNQTHL_AT,BSINES_CNTER_AT,BEACH_AT
더 플라자 서울 오토그래프 컬렉션,서울,중구,"롯데 호텔 서울, 웨스틴 조선호텔 서울, 포시즌스 호텔 서울, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 미드시티 명동, 나인트리 호텔 명동, 호텔 그레이스리 서울, 뉴국제 호텔, 신라스테이광화문, 메트로호텔, 프레지던트호텔, 서울프린스호텔, 뉴서울호텔, 세종호텔, 퍼시픽호텔, 로얄호텔서울, 코리아나호텔, 이비스 앰배서더 명동, 호텔 스카이파크3, 호텔마누, 프레이저플레이스남대문, 호텔 크레토, 24게스트하우스 명동타운점, 솔라리아 니시테츠 호텔 서울 명동, 호텔 스카이파크 센트럴 명동점, 크라운파크 호텔, 소테츠호텔즈 더 스프라지르 서울 명동, 롯데시티호텔명동, L7명동, 호텔스카이파크명동Ⅱ, 알로프트서울명동호텔, 레스케이프 호텔, 밀리오레 서울 명동, 라마다호텔앤스위트서울남대문, ena 스위트 호텔 남대문, 헨나호텔 서울명동, 스탠포드 호텔 명동, 호텔 스카이파크 명동 1호점, 사보이호텔, moxy 명동, L7 명동, 호텔28 명동, 라인 호텔 명동, 이코노미 프리미어 명동",373705,485311,408,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
포시즌스 호텔 서울,서울,종로구,"롯데 호텔 서울, 웨스틴 조선호텔 서울, 더 플라자 서울 오토그래프 컬렉션, 호텔 토마스 명동, 트레블로지 명동 시티홀 호텔, 호텔 미드시티 명동, 뉴국제 호텔, 센터마크호텔, 신라스테이광화문, 나인트리프리미어호텔인사동, 메트로호텔, 프레지던트호텔, 뉴서울호텔, 코리아나호텔, 이비스 앰배서더 명동, 크라운파크 호텔, ena 스위트 호텔 남대문, 스탠포드 호텔 명동, 라인 호텔 명동",703200,876700,317,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
서울신라호텔,서울,중구,"반얀트리 클럽 앤 스파 서울, 써미트호텔, 베이튼호텔, 소테츠호텔즈 더 스프라지르 서울 동대문, 호텔 더 디자이너스 동대문",533805,663223,464,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
호텔 농심,부산,동래구,없음,172668,187951,240,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
히든 클리프 호텔 앤 네이처,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",263604,297748,250,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
스위트 호텔 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",209336,250179,90,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
제주 신라 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",470924,521480,429,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
롯데호텔 제주,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",453097,474860,500,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
WE 호텔 제주,제주,서귀포시,없음,257843,299299,103,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
그랜드 조선 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 파르나스 호텔 제주, 블룸 호텔",464753,530672,248,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
여수 호텔 jcs,전라,여수시,라테라스 코브 스위트,186378,214565,151,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N
소노캄 여수,전라,여수시,"여수 유탑 마리나 호텔 리조트, 여수 베네치아 호텔&리조트, 호텔마띠유여수, H·S관광호텔, 신라스테이 여수",310719,322007,311,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N
